0,-9
0,-31
0,91
0,55
0,-89
0,-115
0,-74
0,-5
0,-17
0,-48
0,-92
0,-60
0,-5
0,-56
0,-100
0,-25
0,1
0,-27
0,-9
0,-2
0,-31
0,-53
0,-126
0,-61
0,13
0,-13
0,-22
0,-81
0,-146
0,-137
0,-72
0,-39
0,-89
0,-73
0,-113
0,-103
0,-75
0,-101
0,-171
0,-125
0,-134
0,-162
0,-97
0,-144
0,-93
0,-86
0,-60
0,-76
0,-68
0,-38
0,-45
0,-33
0,-52
0,-31
0,-47
0,-92
0,-52
0,18
0,35
0,-12
0,-67
0,-86
0,-53
0,26
1,2939
2,31193
5,138181
8,353782
11,622621
14,906097
17,1193747
20,1480267
23,1765982
26,2053933
28,2341762
31,2628603
34,2913899
34,3128418
34,3169740
34,3152752
34,3138991
34,3128112
34,3119054
34,3111158
34,3104243
34,3098019
34,3092363
34,3087156
34,3082429
34,3077994
34,3073878
34,3069987
34,3066253
34,3062762
34,3059343
34,3056215
34,3053169
34,3050262
34,3047438
34,3044765
34,3042139
34,3039660
34,3037290
34,3034911
34,3032612
34,3030393
34,3028208
